Y,PF_win_team,Yds_win_team,Ply_win_team,Y/P_win_team,TO_win_team,FL_win_team,1stD_win_team,Cmp_win_team,Att_win_team,Yds_win_team,TD_win_team,Int_win_team,NY/A_win_team,1stD_win_team,Att_win_team,Yds_win_team,TD_win_team,Y/A_win_team,1stD_win_team,Pen_win_team,Yds_win_team,1stPy_win_team,#Dr_win_team,Sc%_win_team,TO%_win_team,Start_win_team,Time_win_team,Plays_win_team,Yds_win_team,Pts_win_team,PF_win_opp,Yds_win_opp,Ply_win_opp,Y/P_win_opp,TO_win_opp,FL_win_opp,1stD_win_opp,Cmp_win_opp,Att_win_opp,Yds_win_opp,TD_win_opp,Int_win_opp,NY/A_win_opp,1stD_win_opp,Att_win_opp,Yds_win_opp,TD_win_opp,Y/A_win_opp,1stD_win_opp,Pen_win_opp,Yds_win_opp,1stPy_win_opp,#Dr_win_opp,Sc%_win_opp,TO%_win_opp,Start_win_opp,Time_win_opp,Plays_win_opp,Yds_win_opp,Pts_win_opp,PF_lose_team,Yds_lose_team,Ply_lose_team,Y/P_lose_team,TO_lose_team,FL_lose_team,1stD_lose_team,Cmp_lose_team,Att_lose_team,Yds_lose_team,TD_lose_team,Int_lose_team,NY/A_lose_team,1stD_lose_team,Att_lose_team,Yds_lose_team,TD_lose_team,Y/A_lose_team,1stD_lose_team,Pen_lose_team,Yds_lose_team,1stPy_lose_team,#Dr_lose_team,Sc%_lose_team,TO%_lose_team,Start_lose_team,Time_lose_team,Plays_lose_team,Yds_lose_team,Pts_lose_team,PF_lose_opp,Yds_lose_opp,Ply_lose_opp,Y/P_lose_opp,TO_lose_opp,FL_lose_opp,1stD_lose_opp,Cmp_lose_opp,Att_lose_opp,Yds_lose_opp,TD_lose_opp,Int_lose_opp,NY/A_lose_opp,1stD_lose_opp,Att_lose_opp,Yds_lose_opp,TD_lose_opp,Y/A_lose_opp,1stD_lose_opp,Pen_lose_opp,Yds_lose_opp,1stPy_lose_opp,#Dr_lose_opp,Sc%_lose_opp,TO%_lose_opp,Start_lose_opp,Time_lose_opp,Plays_lose_opp,Yds_lose_opp,Pts_lose_opp
1,323,4461,945,4.7,26,9,251,243,421,2567,15,17,5.7,122,496,1894,16,3.8,104,115,920,25,193,30.6,13.0,Own 32.0,2:34,5.06,23.1,1.56,226,4636,995,4.7,41,13,289,282,530,2900,13,28,5.0,156,417,1736,9,4.2,92,86,793,41,193,22.8,19.7,Own 30.1,2:27,5.3,23.9,1.14,429,6141,1026,6.0,29,14,357,357,571,4282,33,15,7.2,213,435,1859,14,4.3,111,89,866,33,178,40.4,15.2,Own 29.3,2:39,5.92,34.5,2.27,326,5357,1018,5.3,22,8,310,317,530,3422,22,14,6.0,177,446,1935,13,4.3,109,103,820,24,180,31.1,11.7,Own 28.9,2:42,5.8,29.8,1.71
1,354,5397,1041,5.2,26,11,312,298,497,3329,22,15,6.2,169,505,2068,14,4.1,117,124,1024,26,182,32.4,12.6,Own 31.0,2:46,5.88,29.5,1.76,305,4743,949,5.0,35,15,279,285,488,3071,17,20,5.5,159,395,1672,14,4.2,95,105,837,25,177,27.7,17.5,Own 30.5,2:35,5.5,26.8,1.53,540,7075,1014,7.0,35,12,380,380,587,5232,37,23,8.3,247,383,1843,26,4.8,112,111,942,21,186,46.8,16.7,Own 30.6,2:39,5.60,38.0,2.76,471,5494,968,5.7,25,6,321,323,534,3797,32,19,6.5,195,383,1697,18,4.4,95,101,747,31,186,40.9,12.4,Own 33.3,2:30,5.4,29.4,2.30
1,333,5014,1058,4.7,26,7,288,287,504,2815,20,19,5.1,156,511,2199,9,4.3,116,95,730,16,195,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58,165,3967,924,4.3,49,26,216,295,528,2997,11,23,5.3,135,361,970,5,2.7,59,84,535,22,194,15.5,23.7,Own 28.6,2:12,4.9,20.4,0.79,485,6554,1115,5.9,25,13,383,354,569,4243,28,12,7.1,223,516,2311,21,4.5,124,89,792,36,196,38.3,11.7,Own 30.9,2:43,5.86,33.5,2.15,369,5544,962,5.8,44,17,294,310,574,3946,26,27,6.4,189,344,1598,13,4.6,80,109,898,25,192,30.2,20.8,Own 29.4,2:13,5.1,28.9,1.72
1,351,5006,1017,4.9,29,14,295,331,575,3124,21,15,5.0,182,397,1882,13,4.7,88,113,980,25,189,33.3,13.8,Own 30.5,2:30,5.56,26.5,1.72,245,4820,1055,4.6,31,12,295,314,552,2990,11,19,5.0,159,453,1830,10,4.0,105,111,936,31,195,25.1,14.9,Own 31.7,2:34,5.6,24.6,1.18,388,4649,961,4.8,24,11,275,237,433,2583,18,13,5.5,144,490,2066,18,4.2,111,82,702,20,196,32.7,10.2,Own 31.8,2:27,5.09,23.7,1.71,269,4800,1047,4.6,41,16,283,339,594,3152,15,25,4.9,180,398,1648,12,4.1,84,95,688,19,203,24.1,19.7,Own 32.0,2:25,5.3,23.4,1.26
1,397,5961,958,6.2,28,10,319,307,495,3832,33,18,7.2,193,428,2129,14,5.0,107,106,908,19,174,39.7,14.9,Own 30.9,2:43,5.64,34.1,2.27,371,5701,1011,5.6,18,10,344,369,584,3913,23,8,6.4,208,396,1788,17,4.5,110,104,747,26,170,38.2,9.4,Own 30.0,2:53,6.1,33.5,2.09,354,5397,1041,5.2,26,11,312,298,497,3329,22,15,6.2,169,505,2068,14,4.1,117,124,1024,26,182,32.4,12.6,Own 31.0,2:46,5.88,29.5,1.76,305,4743,949,5.0,35,15,279,285,488,3071,17,20,5.5,159,395,1672,14,4.2,95,105,837,25,177,27.7,17.5,Own 30.5,2:35,5.5,26.8,1.53
1,479,5776,1023,5.6,20,9,337,284,475,3306,28,11,6.6,177,520,2470,23,4.8,128,118,940,32,189,39.2,10.6,Own 33.9,2:43,5.59,30.6,2.25,299,5249,1014,5.2,37,16,320,359,588,3698,25,21,5.9,202,383,1551,8,4.0,85,117,912,33,193,26.9,18.7,Own 28.0,2:21,5.4,27.1,1.49,323,4461,945,4.7,26,9,251,243,421,2567,15,17,5.7,122,496,1894,16,3.8,104,115,920,25,193,30.6,13.0,Own 32.0,2:34,5.06,23.1,1.56,226,4636,995,4.7,41,13,289,282,530,2900,13,28,5.0,156,417,1736,9,4.2,92,86,793,41,193,22.8,19.7,Own 30.1,2:27,5.3,23.9,1.14
0,333,5014,1058,4.7,26,7,288,287,504,2815,20,19,5.1,156,511,2199,9,4.3,116,95,730,16,195,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58,165,3967,924,4.3,49,26,216,295,528,2997,11,23,5.3,135,361,970,5,2.7,59,84,535,22,194,15.5,23.7,Own 28.6,2:12,4.9,20.4,0.79,346,5350,1036,5.2,30,14,299,286,462,3266,18,16,6.7,167,547,2084,14,3.8,107,107,870,25,194,30.4,14.9,Own 33.7,2:48,5.52,27.4,1.57,191,3813,908,4.2,30,13,215,242,466,2423,10,17,4.7,134,387,1390,7,3.6,62,97,778,19,188,18.1,13.8,Own 29.0,2:14,4.9,20.1,0.90
1,328,5376,1064,5.1,24,11,310,311,529,3367,22,13,6.0,195,507,2009,16,4.0,100,91,839,15,192,29.7,12.0,Own 33.0,2:38,5.68,28.0,1.68,246,4546,988,4.6,31,11,274,327,585,3390,23,20,5.4,181,359,1156,7,3.2,62,80,728,31,190,22.6,15.3,Own 31.5,2:23,5.3,23.9,1.31,351,5006,1017,4.9,29,14,295,331,575,3124,21,15,5.0,182,397,1882,13,4.7,88,113,980,25,189,33.3,13.8,Own 30.5,2:30,5.56,26.5,1.72,245,4820,1055,4.6,31,12,295,314,552,2990,11,19,5.0,159,453,1830,10,4.0,105,111,936,31,195,25.1,14.9,Own 31.7,2:34,5.6,24.6,1.18
1,328,5376,1064,5.1,24,11,310,311,529,3367,22,13,6.0,195,507,2009,16,4.0,100,91,839,15,192,29.7,12.0,Own 33.0,2:38,5.68,28.0,1.68,246,4546,988,4.6,31,11,274,327,585,3390,23,20,5.4,181,359,1156,7,3.2,62,80,728,31,190,22.6,15.3,Own 31.5,2:23,5.3,23.9,1.31,397,5961,958,6.2,28,10,319,307,495,3832,33,18,7.2,193,428,2129,14,5.0,107,106,908,19,174,39.7,14.9,Own 30.9,2:43,5.64,34.1,2.27,371,5701,1011,5.6,18,10,344,369,584,3913,23,8,6.4,208,396,1788,17,4.5,110,104,747,26,170,38.2,9.4,Own 30.0,2:53,6.1,33.5,2.09
0,333,5014,1058,4.7,26,7,288,287,504,2815,20,19,5.1,156,511,2199,9,4.3,116,95,730,16,195,32.8,12.8,Own 36.8,2:44,5.63,25.5,1.58,165,3967,924,4.3,49,26,216,295,528,2997,11,23,5.3,135,361,970,5,2.7,59,84,535,22,194,15.5,23.7,Own 28.6,2:12,4.9,20.4,0.79,479,5776,1023,5.6,20,9,337,284,475,3306,28,11,6.6,177,520,2470,23,4.8,128,118,940,32,189,39.2,10.6,Own 33.9,2:43,5.59,30.6,2.25,299,5249,1014,5.2,37,16,320,359,588,3698,25,21,5.9,202,383,1551,8,4.0,85,117,912,33,193,26.9,18.7,Own 28.0,2:21,5.4,27.1,1.49
